tick;adc
0;14
1;12
2;12
3;12
4;12
5;12
6;9
7;9
8;9
9;9
10;12
11;12
12;14
13;14
14;14
15;17
16;17
17;14
18;17
19;14
20;17
21;12
22;14
23;14
24;14
25;14
26;14
27;14
28;12
29;12
30;12
31;12
32;12
33;9
34;12
35;12
36;12
37;9
38;12
39;12
40;12
41;14
42;17
43;19
44;19
45;22
46;22
47;22
48;19
49;19
50;19
51;17
52;17
53;17
54;17
55;17
56;17
57;17
58;17
59;14
60;14
61;14
62;12
63;14
64;12
65;12
66;12
67;12
68;12
69;12
70;12
71;12
72;12
73;12
74;12
75;12
76;12
77;9
78;9
79;7
80;7
81;9
82;12
83;12
84;12
85;12
86;12
87;9
88;9
89;9
90;9
91;7
92;9
93;7
94;7
95;4
96;7
97;7
98;4
99;4
100;4
101;4
102;4
103;4
104;4
105;4
106;4
107;4
108;4
109;4
110;4
111;4
112;7
113;7
114;9
115;9
116;9
117;9
118;12
119;12
120;12
121;12
122;9
123;12
124;12
125;12
126;17
127;22
128;22
129;24
130;24
131;24
132;24
133;27
134;24
135;24
136;22
137;22
138;19
139;19
140;19
141;17
142;17
143;14
144;12
145;12
146;9
147;9
148;9
149;9
150;9
151;7
152;7
153;7
154;9
155;9
156;9
157;9
158;7
159;7
160;4
161;7
162;4
163;4
164;4
165;4
166;4
167;4
168;4
169;4
170;4
171;4
172;2
173;4
174;4
175;4
176;4
177;2
178;4
179;4
180;7
181;7
182;9
183;7
184;7
185;7
186;7
187;4
188;7
189;9
190;9
191;9
192;12
193;12
194;12
195;12
196;14
197;19
198;19
199;22
200;24
201;24
202;24
203;24
204;24
205;29
206;31
207;34
208;36
209;36
210;36
211;36
212;36
213;36
214;36
215;34
216;34
217;31
218;31
219;31
220;31
221;31
222;29
223;29
224;29
225;36
226;46
227;54
228;58
229;66
230;73
231;78
232;83
233;90
234;120
235;152
236;174
237;194
238;203
239;208
240;208
241;208
242;203
243;196
244;191
245;181
246;171
247;167
248;159
249;152
250;147
251;144
252;142
253;140
254;135
255;132
256;135
257;140
258;142
259;149
260;154
261;159
262;162
263;164
264;167
265;164
266;162
267;162
268;157
269;152
270;147
271;144
272;142
273;142
274;142
275;137
276;132
277;127
278;122
279;115
280;110
281;108
282;108
283;110
284;117
285;125
286;130
287;132
288;130
289;127
290;127
291;125
292;125
293;125
294;125
295;122
296;125
297;125
298;127
299;130
300;130
301;130
302;130
303;130
304;127
305;127
306;125
307;122
308;122
309;122
310;122
311;122
312;120
313;117
314;113
315;110
316;105
317;100
318;100
319;100
320;105
321;113
322;115
323;117
324;117
325;117
326;115
327;113
328;113
329;108
330;103
331;100
332;103
333;110
334;117
335;125
336;130
337;142
338;171
339;223
340;282
341;324
342;348
343;371
344;383
345;395
346;402
347;417
348;434
349;452
350;474
351;491
352;503
353;515
354;525
355;535
356;550
357;570
358;584
359;589
360;597
361;606
362;633
363;653
364;680
365;685
366;678
367;678
368;680
369;675
370;660
371;668
372;675
373;678
374;675
375;692
376;751
377;830
378;872
379;884
380;904
381;923
382;931
383;926
384;918
385;916
386;911
387;906
388;906
389;914
390;928
391;938
392;943
393;970
394;1014
395;1044
396;1061
397;1078
398;1078
399;1063
400;1046
401;1039
402;1029
403;1012
404;990
405;963
406;933
407;909
408;884
409;891
410;904
411;904
412;911
413;943
414;965
415;982
416;1002
417;1002
418;1004
419;1002
420;1017
421;1046
422;1063
423;1076
424;1086
425;1098
426;1130
427;1154
428;1164
429;1174
430;1184
431;1199
432;1208
433;1213
434;1211
435;1218
436;1240
437;1287
438;1324
439;1356
440;1390
441;1405
442;1430
443;1452
444;1459
445;1461
446;1449
447;1430
448;1412
449;1395
450;1375
451;1366
452;1348
453;1361
454;1380
455;1405
456;1412
457;1405
458;1407
459;1425
460;1410
461;1385
462;1371
463;1361
464;1348
465;1378
466;1375
467;1358
468;1336
469;1321
470;1307
471;1309
472;1314
473;1319
474;1353
475;1358
476;1378
477;1383
478;1380
479;1380
480;1356
481;1334
482;1302
483;1267
484;1228
485;1189
486;1142
487;1098
488;1073
489;1051
490;1071
491;1103
492;1144
493;1186
494;1260
495;1282
496;1289
497;1292
498;1289
499;1280
500;1309
501;1366
502;1400
503;1444
504;1461
505;1474
506;1461
507;1444
508;1425
509;1422
510;1439
511;1476
512;1525
513;1577
514;1611
515;1621
516;1611
517;1602
518;1584
519;1567
520;1547
521;1518
522;1486
523;1452
524;1407
525;1366
526;1316
527;1260
528;1213
529;1172
530;1144
531;1120
532;1093
533;1061
534;1036
535;1022
536;1012
537;1009
538;1009
539;1009
540;997
541;972
542;948
543;923
544;894
545;857
546;828
547;791
548;754
549;700
550;665
551;621
552;582
553;540
554;508
555;479
556;442
557;415
558;378
559;348
560;324
561;307
562;289
563;275
564;267
565;260
566;255
567;253
568;248
569;240
570;233
571;226
572;218
573;208
574;201
575;194
576;184
577;174
578;164
579;157
580;147
581;135
582;130
583;125
584;122
585;117
586;115
587;115
588;117
589;120
590;122
591;125
592;127
593;130
594;132
595;132
596;130
597;125
598;122
599;115
600;110
601;103
602;95
603;93
604;85
605;81
606;76
607;71
608;68
609;66
610;66
611;61
612;58
613;54
614;54
615;51
616;49
617;49
618;49
619;49
620;46
621;46
622;49
623;49
624;51
625;51
626;51
627;49
628;49
629;46
630;44
631;41
632;39
633;39
634;36
635;31
636;31
637;29
638;27
639;27
640;31
641;34
642;36
643;36
644;39
645;36
646;39
647;44
648;54
649;56
650;58
651;61
652;61
653;63
654;61
655;61
656;66
657;68
658;68
659;66
660;66
661;61
662;61
663;58
664;56
665;54
666;54
667;54
668;51
669;51
670;49
671;49
672;49
673;44
674;41
675;39
676;36
677;39
678;39
679;39
680;36
681;36
682;36
683;34
684;31
685;29
686;29
687;27
688;24
689;22
690;22
691;19
692;19
693;19
694;22
695;22
696;27
697;31
698;39
699;44
700;46
701;49
702;49
703;49
704;49
705;51
706;49
707;51
708;54
709;54
710;54
711;54
712;54
713;49
714;46
715;46
716;46
717;46
718;49
719;46
720;46
721;44
722;44
723;44
724;46
725;46
726;46
727;46
728;46
729;49
730;49
731;49
732;49
733;46
734;46
735;44
736;41
737;41
738;39
739;39
740;36
741;34
742;31
743;29
744;27
745;27
746;24
747;22
748;19
749;19
750;17
751;14
752;17
753;17
754;19
755;19
756;19
757;19
758;17
759;17
760;17
761;17
762;17
763;17
764;19
765;19
766;17
767;19
768;19
769;19
770;19
771;19
772;19
773;19
774;19
775;19
776;17
777;17
778;17
779;14
780;14
781;14
782;14
783;19
784;19
785;22
786;24
787;24
788;24
789;24
790;22
791;22
792;22
793;24
794;24
795;24
796;27
797;24
798;24
799;24
800;24
801;22
802;24
803;24
804;22
805;22
806;22
807;22
808;19
809;19
810;19
811;19
812;19
813;19
814;19
815;17
816;17
817;14
818;17
819;14
820;14
821;14
822;14
823;14
824;12
825;12
826;12
827;12
828;12
829;9
830;9
831;7
832;7
833;7
834;7
835;7
836;12
837;14
838;17
839;17
840;19
841;19
842;22
843;22
844;22
845;22
846;19
847;19
848;19
849;19
850;17
851;17
852;14
853;14
854;14
855;14
856;12
857;12
858;12
859;12
860;12
861;12
862;12
863;12
864;12
865;9
866;12
867;12
868;9
869;9
870;9
871;12
872;12
873;12
874;14
875;12
876;12
877;12
