tick;adc
0;61
1;63
2;61
3;61
4;61
5;61
6;58
7;58
8;58
9;61
10;61
11;61
12;61
13;61
14;61
15;61
16;61
17;61
18;63
19;63
20;63
21;63
22;61
23;61
24;61
25;58
26;58
27;56
28;58
29;56
30;56
31;54
32;54
33;54
34;54
35;54
36;54
37;56
38;56
39;56
40;56
41;56
42;56
43;58
44;56
45;58
46;56
47;58
48;56
49;58
50;58
51;61
52;61
53;61
54;61
55;63
56;61
57;63
58;61
59;61
60;61
61;61
62;61
63;58
64;56
65;56
66;54
67;54
68;51
69;51
70;51
71;54
72;51
73;51
74;51
75;51
76;49
77;49
78;49
79;49
80;54
81;54
82;56
83;58
84;58
85;61
86;61
87;61
88;61
89;61
90;61
91;61
92;61
93;61
94;61
95;58
96;61
97;58
98;58
99;56
100;56
101;56
102;56
103;56
104;56
105;54
106;54
107;54
108;54
109;54
110;54
111;56
112;56
113;56
114;56
115;56
116;56
117;56
118;56
119;56
120;54
121;54
122;54
123;51
124;51
125;54
126;54
127;56
128;56
129;56
130;56
131;54
132;54
133;54
134;51
135;51
136;51
137;51
138;51
139;51
140;51
141;51
142;51
143;51
144;51
145;51
146;51
147;51
148;49
149;49
150;51
151;51
152;51
153;51
154;49
155;49
156;46
157;46
158;46
159;46
160;46
161;46
162;46
163;46
164;46
165;46
166;49
167;49
168;49
169;51
170;51
171;51
172;54
173;54
174;54
175;54
176;54
177;51
178;51
179;51
180;49
181;51
182;51
183;51
184;51
185;51
186;54
187;54
188;54
189;54
190;54
191;54
192;54
193;51
194;51
195;51
196;51
197;54
198;54
199;54
200;54
201;51
202;51
203;49
204;49
205;49
206;49
207;49
208;49
209;46
210;46
211;46
212;46
213;46
214;46
215;44
216;41
217;41
218;41
219;44
220;46
221;46
222;46
223;46
224;49
225;49
226;49
227;46
228;46
229;41
230;41
231;39
232;36
233;34
234;31
235;31
236;31
237;29
238;29
239;29
240;29
241;29
242;29
243;29
244;27
245;27
246;24
247;24
248;24
249;24
250;22
251;24
252;27
253;27
254;27
255;27
256;24
257;24
258;24
259;24
260;24
261;24
262;24
263;24
264;22
265;22
266;19
267;19
268;19
269;19
270;19
271;19
272;22
273;22
274;24
275;27
276;29
277;34
278;36
279;41
280;44
281;44
282;44
283;46
284;46
285;54
286;58
287;61
288;61
289;61
290;58
291;58
292;56
