tick;adc
0;4
1;4
2;4
3;4
4;4
5;4
6;4
7;4
8;4
9;4
10;4
11;4
12;4
13;4
14;4
15;4
16;4
17;4
18;7
19;7
20;7
21;7
22;9
23;9
24;7
25;9
26;9
27;9
28;9
29;9
30;9
31;9
32;9
33;9
34;9
35;9
36;9
37;9
38;9
39;12
40;12
41;12
42;12
43;12
44;12
45;12
46;9
47;9
48;7
49;7
50;7
51;7
52;7
53;7
54;4
55;4
56;4
57;4
58;4
59;7
60;7
61;7
62;7
63;4
64;7
65;7
66;7
67;7
68;7
69;7
70;7
71;7
72;7
73;9
74;7
75;7
76;7
77;7
78;7
79;9
80;9
81;9
82;9
83;9
84;9
85;9
86;9
87;12
88;12
89;9
90;9
91;9
92;9
93;9
94;9
95;7
96;7
97;7
98;7
99;9
100;9
101;9
102;9
103;9
104;9
105;9
106;9
107;12
108;9
109;9
110;7
111;7
112;7
113;4
114;4
115;4
116;4
117;4
118;4
119;4
120;4
121;4
122;7
123;7
124;7
125;9
126;9
127;9
128;9
129;9
130;9
131;9
132;9
133;9
134;9
135;9
136;9
137;12
138;12
139;12
140;12
141;12
142;12
143;12
144;12
145;12
146;12
147;12
148;12
149;9
150;12
151;9
152;9
153;9
154;9
155;12
156;12
157;12
158;12
159;12
160;12
161;12
162;12
163;12
164;12
165;12
166;9
167;12
168;12
169;9
170;9
171;12
172;9
173;9
174;12
175;9
176;9
177;9
178;9
179;9
180;9
181;9
182;9
183;9
184;9
185;9
186;9
187;9
188;9
189;9
190;9
191;9
192;9
193;9
194;9
195;9
196;9
197;9
198;9
199;9
200;9
201;9
202;9
203;7
204;7
205;4
206;4
207;2
208;4
209;4
210;4
211;4
212;4
213;4
214;7
215;7
216;4
217;4
218;4
219;4
220;4
221;4
222;4
223;4
224;4
225;4
226;4
227;7
228;4
229;7
230;7
231;7
232;9
233;9
234;9
235;9
236;12
237;9
238;12
239;12
240;12
241;14
242;12
243;12
244;12
245;12
246;12
247;12
248;9
249;12
250;12
251;9
252;12
253;12
254;12
255;12
256;12
257;12
258;9
259;9
260;9
261;7
262;7
263;9
264;9
265;9
266;12
267;14
268;19
269;22
270;22
271;24
272;24
273;22
274;24
275;24
276;27
277;29
278;29
279;29
280;29
281;27
282;29
283;27
284;27
285;27
286;27
287;27
288;27
289;27
290;27
291;27
292;27
293;27
294;24
295;24
296;27
297;27
298;27
299;27
300;27
301;24
302;24
303;24
304;24
305;24
306;22
307;22
308;22
309;19
310;19
311;17
312;17
313;17
314;17
315;22
316;27
317;34
318;36
319;39
320;41
321;41
322;39
323;39
324;36
325;36
326;34
327;34
328;36
329;36
330;39
331;39
332;39
333;39
334;36
335;34
336;36
337;39
338;44
339;46
340;49
341;49
342;51
343;51
344;54
345;54
346;54
347;54
348;56
349;63
350;66
351;66
352;66
353;66
354;66
355;66
356;61
357;58
358;56
359;56
360;56
361;54
362;49
363;46
364;44
365;46
366;56
367;63
368;71
369;76
370;81
371;88
372;93
373;93
374;93
375;90
376;88
377;85
378;83
379;81
380;81
381;76
382;73
383;73
384;73
385;78
386;85
387;93
388;95
389;98
390;103
391;108
392;117
393;130
394;140
395;149
396;164
397;171
398;176
399;179
400;186
401;194
402;206
403;216
404;221
405;226
406;233
407;238
408;257
409;287
410;324
411;356
412;393
413;444
414;486
415;520
416;572
417;601
418;633
419;656
420;665
421;660
422;656
423;648
424;643
425;653
426;683
427;697
428;717
429;727
430;739
431;756
432;818
433;872
434;906
435;938
436;958
437;972
438;985
439;1017
440;1046
441;1058
442;1078
443;1086
444;1098
445;1113
446;1184
447;1206
448;1213
449;1218
450;1211
451;1191
452;1189
453;1208
454;1228
455;1243
456;1253
457;1294
458;1334
459;1378
460;1430
461;1476
462;1493
463;1498
464;1488
465;1471
466;1457
467;1434
468;1444
469;1444
470;1439
471;1437
472;1412
473;1390
474;1361
475;1371
476;1422
477;1511
478;1606
479;1673
480;1778
481;1862
482;1921
483;1985
484;2031
485;2059
486;2066
487;2081
488;2172
489;2233
490;2245
491;2231
492;2211
493;2181
494;2157
495;2167
496;2147
497;2113
498;2051
499;1990
500;1928
501;1923
502;1945
503;2024
504;2063
505;2086
506;2098
507;2098
508;2078
509;2054
510;2051
511;2031
512;2012
513;2009
514;2004
515;2002
516;2007
517;1992
518;1987
519;2088
520;2140
521;2186
522;2292
523;2329
524;2378
525;2405
526;2425
527;2466
528;2461
529;2464
530;2520
531;2643
532;2746
533;2850
534;2914
535;2941
536;2938
537;2918
538;2916
539;2941
540;3002
541;3093
542;3189
543;3260
544;3290
545;3280
546;3262
547;3290
548;3314
549;3358
550;3395
551;3398
552;3368
553;3307
554;3255
555;3213
556;3142
557;3056
558;2938
559;2818
560;2729
561;2636
562;2523
563;2415
564;2312
565;2231
566;2135
567;2024
568;1923
569;1823
570;1754
571;1690
572;1631
573;1577
574;1511
575;1449
576;1346
577;1294
578;1258
579;1221
580;1191
581;1164
582;1132
583;1108
584;1090
585;1066
586;1044
587;1031
588;1098
589;1184
590;1230
591;1253
592;1258
593;1270
594;1282
595;1319
596;1329
597;1348
598;1385
599;1457
600;1533
601;1589
602;1614
603;1629
604;1636
605;1675
606;1781
607;1835
608;1859
609;1852
610;1820
611;1781
612;1712
613;1648
614;1587
615;1503
616;1405
617;1319
618;1255
619;1162
620;1088
621;1031
622;972
623;931
624;941
625;933
626;916
627;899
628;879
629;867
630;837
631;808
632;781
633;744
634;710
635;675
636;636
637;601
638;570
639;530
640;493
641;461
642;437
643;405
644;375
645;358
646;331
647;312
648;292
649;277
650;262
651;248
652;238
653;230
654;226
655;221
656;213
657;206
658;206
659;206
660;203
661;196
662;191
663;184
664;174
665;167
666;157
667;149
668;142
669;132
670;122
671;115
672;105
673;100
674;90
675;85
676;81
677;73
678;68
679;63
680;61
681;58
682;56
683;51
684;51
685;46
686;46
687;41
688;41
689;39
690;36
691;34
692;31
693;29
694;29
695;27
696;24
697;24
698;22
699;19
700;19
701;17
702;14
703;14
704;14
705;12
706;14
707;19
708;22
709;24
710;27
711;29
712;29
713;31
714;31
715;31
716;29
717;29
718;29
719;29
720;27
721;27
722;27
723;24
724;24
725;22
726;22
727;22
728;19
729;19
730;17
731;17
732;14
733;14
734;19
735;24
736;27
737;29
738;31
739;31
740;34
741;34
742;34
743;34
744;31
745;31
746;29
747;27
748;27
749;27
750;27
751;22
752;22
753;22
754;19
755;19
756;17
757;17
758;17
759;14
760;12
761;12
762;12
763;9
764;12
765;12
766;12
767;12
768;9
769;9
770;9
771;12
772;14
773;14
774;17
775;17
776;17
777;17
778;17
779;17
780;14
781;14
782;14
783;12
784;14
785;12
786;12
787;12
788;12
789;12
790;12
791;14
792;14
793;14
794;14
795;12
796;12
797;12
798;14
799;17
800;22
801;24
802;27
803;29
804;29
805;29
806;31
807;29
808;31
809;31
810;29
811;29
812;27
813;27
814;24
815;24
816;24
817;22
818;22
819;19
820;19
821;17
822;14
823;14
824;14
825;17
826;19
827;19
828;19
829;17
830;14
831;14
832;12
833;12
834;12
835;9
836;9
837;7
838;7
839;7
840;7
841;7
842;7
843;4
844;7
845;7
846;4
847;4
848;4
849;7
850;7
851;7
852;7
853;9
854;7
855;9
856;9
857;12
858;9
859;9
860;9
861;7
862;12
863;14
864;17
865;17
866;19
867;19
868;17
869;17
870;14
871;14
872;14
873;12
874;12
875;12
876;12
877;12
878;12
879;14
880;14
881;9
882;9
883;9
884;9
885;9
886;9
887;7
888;9
889;7
890;9
891;7
892;7
893;7
894;4
895;4
896;2
897;4
898;4
899;4
900;4
901;4
902;4
903;4
904;2
905;4
906;4
907;4
908;4
909;4
910;4
911;4
912;4
913;4
914;4
915;4
916;4
917;4
918;4
919;4
920;4
921;4
922;4
923;4
924;4
925;4
926;4
927;4
928;4
929;4
930;4
931;4
932;4
933;4
934;4
935;4
936;4
937;4
938;4
939;4
940;7
941;7
942;7
943;7
944;7
945;7
946;7
947;7
948;4
949;4
950;4
951;4
952;4
953;4
954;4
955;4
956;2
957;4
958;4
959;2
960;4
961;4
962;4
963;4
964;4
965;4
966;2
967;4
968;4
969;2
970;4
971;4
972;4
973;4
974;4
975;4
976;4
977;4
978;4
979;4
980;4
981;4
982;4
983;4
984;4
985;4
986;7
987;7
988;9
989;9
990;7
991;9
992;7
993;7
994;7
995;7
996;7
997;7
998;7
999;9
