tick;adc
0;4
1;4
2;4
3;2
4;4
5;2
6;4
7;2
8;4
9;2
10;4
11;4
12;4
13;4
14;2
15;2
16;4
17;4
18;4
19;4
20;4
21;4
22;2
23;2
24;2
25;4
26;2
27;2
28;4
29;2
30;4
31;4
32;2
33;4
34;4
35;4
36;4
37;2
38;2
39;2
40;2
41;2
42;2
43;4
44;7
45;7
46;7
47;9
48;9
49;9
50;9
51;9
52;9
53;7
54;9
55;9
56;9
57;9
58;12
59;9
60;9
61;9
62;9
63;9
64;7
65;4
66;4
67;2
68;4
69;2
70;4
71;2
72;4
73;4
74;2
75;2
76;4
77;4
78;2
79;2
80;4
81;4
82;2
83;4
84;4
85;2
86;4
87;2
88;2
89;4
90;2
91;2
92;4
93;2
94;4
95;4
96;2
97;4
98;4
99;4
100;2
101;4
102;4
103;2
104;4
105;2
106;4
107;4
108;4
109;2
110;2
111;4
112;2
113;2
114;2
115;2
116;4
117;4
118;4
119;2
120;4
121;4
122;2
123;4
124;4
125;4
126;2
127;2
128;2
129;4
130;2
131;4
132;2
133;4
134;2
135;4
136;4
137;4
138;4
139;2
140;4
141;2
142;4
143;4
144;4
145;4
146;4
147;2
148;4
149;4
150;4
151;4
152;4
153;2
154;4
155;2
156;4
157;2
158;4
159;4
160;4
161;4
162;4
163;4
164;2
165;2
166;2
167;2
168;2
169;2
170;4
171;4
172;4
173;4
174;4
175;4
176;2
177;2
178;4
179;4
180;4
181;2
182;2
183;4
184;4
185;4
186;4
187;4
188;4
189;2
190;4
191;2
192;2
193;4
194;4
195;4
196;4
197;4
198;4
199;2
200;2
201;4
202;4
203;2
204;4
205;2
206;2
207;2
208;4
209;17
210;24
211;29
212;36
213;41
214;44
215;49
216;51
217;56
218;63
219;76
220;85
221;90
222;95
223;100
224;103
225;103
226;103
227;100
228;98
229;95
230;90
231;85
232;90
233;98
234;103
235;108
236;113
237;113
238;113
239;110
240;108
241;103
242;100
243;98
244;93
245;90
246;85
247;83
248;76
249;73
250;68
251;63
252;63
253;61
254;58
255;61
256;58
257;58
258;56
259;61
260;61
261;63
262;68
263;78
264;85
265;90
266;90
267;90
268;88
269;88
270;88
271;85
272;83
273;83
274;81
275;78
276;76
277;76
278;76
279;81
280;81
281;83
282;83
283;85
284;90
285;90
286;93
287;95
288;95
289;95
290;98
291;98
292;95
293;95
294;103
295;108
296;115
297;130
298;142
299;157
300;167
301;169
302;171
303;171
304;171
305;167
306;162
307;157
308;152
309;144
310;140
311;135
312;127
313;117
314;110
315;103
316;95
317;90
318;85
319;83
320;78
321;78
322;85
323;95
324;100
325;110
326;122
327;137
328;144
329;154
330;162
331;169
332;174
333;176
334;176
335;174
336;174
337;176
338;179
339;181
340;196
341;216
342;243
343;262
344;285
345;314
346;336
347;346
348;353
349;366
350;375
351;383
352;395
353;407
354;412
355;415
356;425
357;447
358;464
359;481
360;501
361;515
362;520
363;525
364;533
365;533
366;528
367;520
368;508
369;498
370;498
371;501
372;503
373;501
374;501
375;501
376;511
377;515
378;518
379;520
380;518
381;513
382;520
383;547
384;589
385;638
386;678
387;715
388;739
389;746
390;749
391;739
392;739
393;729
394;722
395;742
396;749
397;761
398;788
399;813
400;820
401;837
402;857
403;872
404;877
405;872
406;867
407;886
408;926
409;958
410;963
411;960
412;960
413;960
414;953
415;943
416;923
417;904
418;879
419;850
420;828
421;818
422;837
423;862
424;909
425;943
426;972
427;995
428;997
429;987
430;968
431;953
432;936
433;943
434;955
435;955
436;982
437;995
438;997
439;997
440;1014
441;1024
442;1049
443;1066
444;1071
445;1086
446;1095
447;1100
448;1113
449;1120
450;1122
451;1144
452;1174
453;1213
454;1253
455;1265
456;1280
457;1289
458;1304
459;1329
460;1378
461;1464
462;1528
463;1577
464;1621
465;1695
466;1773
467;1845
468;1965
469;2039
470;2078
471;2083
472;2068
473;2031
474;1977
475;1921
476;1857
477;1796
478;1717
479;1651
480;1584
481;1545
482;1516
483;1471
484;1442
485;1425
486;1459
487;1528
488;1555
489;1555
490;1538
491;1511
492;1513
493;1587
494;1638
495;1697
496;1727
497;1737
498;1732
499;1727
500;1700
501;1683
502;1675
503;1651
504;1611
505;1570
506;1513
507;1464
508;1425
509;1390
510;1373
511;1368
512;1358
513;1341
514;1319
515;1302
516;1285
517;1275
518;1262
519;1223
520;1179
521;1135
522;1088
523;1041
524;985
525;933
526;874
527;818
528;776
529;737
530;695
531;651
532;616
533;601
534;594
535;592
536;599
537;599
538;592
539;577
540;562
541;547
542;525
543;503
544;479
545;452
546;425
547;398
548;375
549;351
550;326
551;307
552;287
553;267
554;248
555;233
556;221
557;206
558;189
559;171
560;159
561;142
562;130
563;120
564;110
565;100
566;93
567;88
568;83
569;78
570;73
571;68
572;66
573;63
574;58
575;56
576;54
577;49
578;46
579;44
580;41
581;39
582;39
583;34
584;31
585;29
586;29
587;27
588;27
589;24
590;24
591;24
592;24
593;22
594;22
595;19
596;17
597;17
598;17
599;17
600;19
601;22
602;22
603;22
604;19
605;17
606;17
607;14
608;14
609;12
610;12
611;12
612;9
613;9
614;9
615;9
616;7
617;7
618;4
619;4
620;2
621;2
622;4
623;2
624;4
625;4
626;4
627;4
628;4
629;2
630;4
631;2
632;4
633;4
634;4
635;2
636;2
637;2
638;4
639;2
640;4
641;4
642;4
643;2
644;2
645;2
646;4
647;2
648;4
649;4
650;4
651;2
652;4
653;2
654;2
655;4
656;2
657;4
658;2
659;2
660;4
661;4
662;7
663;7
664;7
665;4
666;4
667;4
668;4
669;2
670;2
671;2
672;2
673;2
674;4
675;2
676;2
677;4
678;2
679;4
680;2
681;2
682;4
683;2
684;2
685;4
686;2
687;2
688;4
689;4
690;4
691;4
692;4
693;4
694;2
695;4
696;4
697;2
698;2
699;4
700;2
701;4
702;4
703;2
704;2
705;4
706;2
707;2
708;4
709;2
710;2
711;2
712;4
713;2
714;2
715;2
716;4
717;4
718;4
719;4
720;4
721;2
722;4
