tick;adc
0;2
1;4
2;4
3;4
4;4
5;4
6;4
7;2
8;2
9;2
10;4
11;4
12;2
13;2
14;4
15;2
16;2
17;4
18;4
19;2
20;4
21;2
22;4
23;4
24;2
25;2
26;2
27;4
28;4
29;4
30;7
31;7
32;7
33;7
34;9
35;7
36;7
37;7
38;7
39;7
40;4
41;4
42;2
43;2
44;4
45;2
46;4
47;2
48;4
49;4
50;4
51;4
52;4
53;2
54;4
55;4
56;2
57;2
58;2
59;4
60;2
61;4
62;4
63;2
64;4
65;2
66;2
67;2
68;4
69;2
70;4
71;4
72;4
73;2
74;2
75;2
76;2
77;4
78;4
79;4
80;2
81;2
82;7
83;4
84;2
85;2
86;2
87;4
88;4
89;2
90;4
91;2
92;4
93;4
94;4
95;4
96;4
97;7
98;7
99;9
100;9
101;9
102;9
103;7
104;7
105;7
106;4
107;4
108;4
109;4
110;4
111;2
112;2
113;4
114;7
115;4
116;4
117;7
118;7
119;7
120;7
121;9
122;9
123;9
124;7
125;7
126;7
127;7
128;7
129;7
130;7
131;4
132;4
133;4
134;4
135;4
136;4
137;4
138;2
139;2
140;4
141;4
142;4
143;7
144;7
145;7
146;9
147;9
148;12
149;12
150;12
151;12
152;12
153;12
154;12
155;12
156;12
157;9
158;9
159;9
160;9
161;9
162;9
163;9
164;9
165;9
166;12
167;12
168;9
169;12
170;12
171;12
172;12
173;12
174;9
175;9
176;9
177;7
178;4
179;4
180;4
181;4
182;2
183;4
184;4
185;4
186;4
187;4
188;7
189;7
190;7
191;7
192;7
193;7
194;7
195;9
196;9
197;9
198;9
199;9
200;7
201;7
202;7
203;7
204;4
205;4
206;4
207;2
208;4
209;2
210;4
211;4
212;2
213;4
214;4
215;2
216;4
217;4
218;2
219;4
220;2
221;2
222;2
223;4
224;2
225;2
226;4
227;4
228;2
229;2
230;2
231;4
232;4
233;2
234;4
235;4
236;2
237;2
238;4
239;4
240;2
241;4
242;4
243;4
244;4
245;4
246;4
247;4
248;4
249;4
250;4
251;4
252;4
253;4
254;4
255;4
256;7
257;7
258;7
259;9
260;9
261;12
262;12
263;14
264;14
265;14
266;14
267;17
268;17
269;17
270;17
271;19
272;22
273;24
274;24
275;24
276;27
277;27
278;29
279;27
280;29
281;29
282;29
283;29
284;29
285;29
286;31
287;34
288;36
289;41
290;44
291;46
292;49
293;49
294;49
295;49
296;49
297;49
298;49
299;49
300;51
301;56
302;58
303;61
304;68
305;73
306;78
307;81
308;83
309;83
310;88
311;90
312;93
313;100
314;103
315;105
316;108
317;113
318;113
319;113
320;113
321;117
322;122
323;127
324;130
325;132
326;135
327;137
328;137
329;137
330;135
331;132
332;130
333;127
334;125
335;125
336;122
337;120
338;115
339;113
340;110
341;108
342;105
343;103
344;103
345;103
346;100
347;100
348;103
349;103
350;103
351;103
352;100
353;100
354;98
355;98
356;98
357;95
358;93
359;93
360;93
361;90
362;93
363;93
364;93
365;93
366;90
367;90
368;90
369;98
370;110
371;120
372;127
373;137
374;144
375;147
376;152
377;157
378;162
379;162
380;162
381;162
382;162
383;159
384;157
385;154
386;152
387;152
388;149
389;149
390;147
391;147
392;149
393;157
394;159
395;164
396;167
397;167
398;167
399;164
400;167
401;164
402;164
403;159
404;154
405;149
406;142
407;137
408;135
409;130
410;130
411;127
412;125
413;122
414;125
415;149
416;174
417;199
418;221
419;235
420;250
421;262
422;272
423;277
424;292
425;314
426;358
427;407
428;457
429;488
430;520
431;547
432;560
433;574
434;597
435;631
436;660
437;707
438;751
439;781
440;798
441;803
442;801
443;801
444;808
445;808
446;813
447;810
448;803
449;791
450;776
451;756
452;737
453;717
454;697
455;680
456;668
457;660
458;656
459;656
460;656
461;678
462;700
463;717
464;742
465;766
466;796
467;830
468;859
469;899
470;923
471;943
472;955
473;963
474;963
475;958
476;950
477;938
478;928
479;923
480;933
481;941
482;943
483;945
484;943
485;938
486;933
487;941
488;938
489;928
490;921
491;916
492;909
493;901
494;889
495;874
496;859
497;850
498;840
499;840
500;857
501;869
502;877
503;891
504;928
505;953
506;980
507;997
508;1009
509;1024
510;1031
511;1039
512;1041
513;1049
514;1058
515;1073
516;1078
517;1081
518;1110
519;1164
520;1194
521;1216
522;1230
523;1238
524;1248
525;1253
526;1260
527;1270
528;1280
529;1319
530;1373
531;1407
532;1432
533;1442
534;1464
535;1486
536;1513
537;1555
538;1597
539;1616
540;1636
541;1656
542;1668
543;1680
544;1688
545;1715
546;1759
547;1815
548;1894
549;1933
550;1980
551;2009
552;2034
553;2056
554;2059
555;2063
556;2071
557;2073
558;2078
559;2098
560;2105
561;2117
562;2125
563;2130
564;2125
565;2132
566;2137
567;2125
568;2117
569;2105
570;2113
571;2135
572;2167
573;2184
574;2181
575;2169
576;2157
577;2137
578;2110
579;2068
580;2022
581;1926
582;1901
583;1828
584;1796
585;1766
586;1746
587;1778
588;1818
589;1845
590;1884
591;1918
592;1931
593;1931
594;1926
595;1894
596;1855
597;1796
598;1732
599;1673
600;1611
601;1570
602;1550
603;1545
604;1552
605;1643
606;1734
607;1823
608;1879
609;1914
610;1938
611;1943
612;1933
613;1911
614;1899
615;1916
616;1941
617;1980
618;2007
619;2029
620;2110
621;2226
622;2321
623;2420
624;2501
625;2552
626;2584
627;2575
628;2552
629;2533
630;2513
631;2508
632;2484
633;2425
634;2361
635;2314
636;2336
637;2321
638;2292
639;2250
640;2216
641;2189
642;2154
643;2135
644;2090
645;2029
646;1953
647;1869
648;1793
649;1722
650;1678
651;1660
652;1621
653;1579
654;1523
655;1459
656;1388
657;1331
658;1294
659;1270
660;1250
661;1235
662;1213
663;1191
664;1174
665;1181
666;1184
667;1169
668;1144
669;1105
670;1066
671;1019
672;968
673;918
674;847
675;796
676;749
677;705
678;656
679;614
680;574
681;552
682;545
683;543
684;543
685;562
686;606
687;656
688;687
689;700
690;700
691;690
692;673
693;648
694;621
695;592
696;560
697;530
698;496
699;464
700;437
701;407
702;380
703;353
704;331
705;309
706;289
707;245
708;250
709;265
710;270
711;270
712;267
713;257
714;245
715;230
716;208
717;194
718;176
719;162
720;152
721;135
722;125
723;117
724;108
725;100
726;93
727;85
728;81
729;73
730;68
731;63
732;61
733;58
734;54
735;51
736;49
737;49
738;49
739;46
740;41
741;41
742;39
743;39
744;36
745;34
746;31
747;29
748;27
749;27
750;27
751;24
752;22
753;22
754;22
755;19
756;19
757;17
758;17
759;14
760;12
761;12
762;9
763;9
764;9
765;12
766;12
767;14
768;17
769;19
770;22
771;24
772;27
773;29
774;31
775;29
776;29
777;29
778;29
779;29
780;27
781;27
782;24
783;24
784;24
785;24
786;24
787;24
788;22
789;22
790;19
791;22
792;19
793;24
794;31
795;36
796;39
797;44
798;46
799;49
800;49
801;49
802;49
803;49
804;46
805;46
806;46
807;44
808;41
809;39
810;36
811;34
812;29
813;29
814;27
815;27
816;27
817;27
818;27
819;31
820;31
821;36
822;39
823;39
824;41
825;39
826;39
827;39
828;39
829;39
830;39
831;36
832;34
833;31
834;29
835;29
836;27
837;27
838;22
839;22
840;19
841;19
842;17
843;17
844;14
845;14
846;12
847;9
848;9
849;9
850;9
851;7
852;9
853;7
854;7
855;7
856;7
857;7
858;7
859;7
860;7
861;7
862;9
863;9
864;9
865;12
866;12
867;12
868;12
869;12
870;12
871;12
872;12
873;12
874;9
875;9
876;7
877;7
878;4
879;4
880;2
881;4
882;4
883;2
884;4
885;2
886;2
887;2
888;2
889;4
890;4
891;4
892;4
893;4
894;4
895;4
896;4
897;4
898;4
899;4
900;4
901;4
902;4
903;4
904;4
905;2
906;4
907;4
908;2
909;4
910;4
911;4
912;4
913;2
914;2
915;4
916;4
917;7
918;7
919;7
