tick;adc
0;14
1;14
2;14
3;14
4;12
5;12
6;12
7;12
8;12
9;12
10;12
11;14
12;14
13;14
14;14
15;12
16;14
17;12
18;12
19;14
20;12
21;14
22;14
23;14
24;17
25;14
26;17
27;14
28;14
29;14
30;14
31;14
32;14
33;14
34;14
35;14
36;12
37;12
38;12
39;12
40;9
41;9
42;9
43;9
44;7
45;7
46;7
47;9
48;9
49;12
50;12
51;12
52;14
53;14
54;14
55;14
56;14
57;14
58;14
59;14
60;12
61;12
62;12
63;9
64;9
65;9
66;9
67;9
68;12
69;12
70;12
71;12
72;14
73;14
74;14
75;14
76;14
77;14
78;14
79;17
80;17
81;17
82;19
83;19
84;19
85;19
86;19
87;19
88;17
89;17
90;17
91;17
92;17
93;17
94;17
95;17
96;17
97;14
98;14
99;14
100;14
101;14
102;14
103;14
104;17
105;17
106;17
107;17
108;17
109;17
110;17
111;17
112;17
113;17
114;17
115;17
116;17
117;17
118;17
119;17
120;17
121;17
122;17
123;17
124;17
125;17
126;17
127;17
128;19
129;17
130;17
131;17
132;17
133;17
134;17
135;14
136;14
137;14
138;12
139;12
140;12
141;12
142;9
143;12
144;12
145;12
146;12
147;12
148;12
149;14
150;22
151;46
152;95
153;142
154;245
155;343
156;429
157;503
158;592
159;658
160;742
161;805
162;867
163;921
164;995
165;1120
166;1267
167;1412
168;1582
169;1761
170;1975
171;2277
172;2579
173;3051
174;3309
175;3496
176;3815
177;3820
178;3828
179;3825
180;3833
181;3830
182;3830
183;3833
184;3828
185;3808
186;3805
187;3828
188;3830
189;3830
190;3828
191;3833
192;3828
193;3830
194;3825
195;3833
196;3830
197;3830
198;3825
199;3830
200;3830
201;3828
202;3823
203;3823
204;3830
205;3833
206;3828
207;3828
208;3820
209;3828
210;3830
211;3823
212;3830
213;3830
214;3830
215;3830
216;3828
217;3825
218;3830
219;3830
220;3830
221;3823
222;3825
223;3823
224;3825
225;3828
226;3830
227;3823
228;3828
229;3828
230;3825
231;3823
232;3828
233;3830
234;3830
235;3828
236;3823
237;3830
238;3828
239;3828
240;3828
241;3833
242;3830
243;3823
244;3833
245;3830
246;3830
247;3828
248;3830
249;3823
250;3825
251;3828
252;3825
253;3830
254;3828
255;3828
256;3830
257;3830
258;3830
259;3830
260;3830
261;3825
262;3828
263;3833
264;3830
265;3830
266;3828
267;3828
268;3828
269;3830
270;3828
271;3833
272;3833
273;3823
274;3828
275;3828
276;3828
277;3830
278;3828
279;3830
280;3825
281;3830
282;3828
283;3830
284;3830
285;3825
286;3830
287;3828
288;3828
289;3823
290;3828
291;3830
292;3828
293;3823
294;3830
295;3830
296;3833
297;3828
298;3830
299;3833
300;3828
301;3823
302;3825
303;3818
304;3830
305;3828
306;3825
307;3825
308;3828
309;3828
310;3828
311;3830
312;3828
313;3830
314;3830
315;3830
316;3830
317;3828
318;3833
319;3830
320;3810
321;3759
322;3815
323;3828
324;3830
325;3833
326;3793
327;3707
328;3643
329;3599
330;3575
331;3621
332;3673
333;3702
334;3737
335;3732
336;3675
337;3579
338;3466
339;3336
340;3196
341;3009
342;2882
343;2692
344;2555
345;2398
346;2282
347;2154
348;2036
349;1941
350;1869
351;1764
352;1683
353;1597
354;1503
355;1432
356;1378
357;1302
358;1245
359;1184
360;1105
361;1039
362;987
363;921
364;825
365;769
366;719
367;675
368;629
369;582
370;540
371;501
372;466
373;432
374;398
375;375
376;351
377;319
378;299
379;270
380;255
381;233
382;213
383;199
384;186
385;174
386;159
387;147
388;137
389;125
390;117
391;110
392;103
393;95
394;90
395;88
396;81
397;76
398;71
399;68
400;68
401;73
402;76
403;76
404;76
405;76
406;73
407;71
408;71
409;68
410;66
411;63
412;58
413;56
414;54
415;51
416;54
417;51
418;51
419;49
420;49
421;46
422;44
423;41
424;41
425;39
426;36
427;36
428;36
429;34
430;34
431;34
432;34
433;34
434;34
435;31
436;31
437;29
438;29
439;29
440;29
441;27
442;27
443;24
444;22
445;22
446;19
447;19
448;17
449;17
450;17
451;17
452;17
453;14
454;14
455;14
456;12
457;12
458;9
459;9
460;9
461;9
462;9
463;9
464;9
465;9
466;12
467;12
468;14
469;14
470;14
471;14
472;14
473;17
474;14
475;17
476;17
477;17
478;17
479;17
480;17
481;17
482;17
483;17
484;17
485;17
486;17
487;17
488;17
489;17
490;17
491;17
492;17
493;14
494;17
495;17
496;14
497;14
498;14
499;14
500;12
501;12
502;12
503;12
504;9
505;9
506;9
507;12
508;12
509;12
510;12
511;12
512;12
513;12
514;14
515;14
516;14
517;17
518;17
519;17
520;17
521;17
522;17
523;14
524;14
525;17
526;14
527;14
528;14
529;14
