tick;adc
0;4
1;4
2;4
3;7
4;7
5;9
6;9
7;9
8;9
9;9
10;9
11;9
12;9
13;7
14;7
15;9
16;7
17;7
18;9
19;9
20;9
21;12
22;12
23;14
24;14
25;14
26;14
27;12
28;12
29;12
30;12
31;9
32;9
33;7
34;9
35;9
36;9
37;7
38;7
39;7
40;4
41;4
42;4
43;4
44;7
45;4
46;4
47;4
48;4
49;7
50;7
51;7
52;7
53;4
54;7
55;9
56;9
57;12
58;12
59;12
60;12
61;12
62;12
63;14
64;14
65;14
66;12
67;12
68;12
69;12
70;12
71;12
72;12
73;12
74;12
75;9
76;9
77;9
78;9
79;7
80;7
81;7
82;7
83;7
84;7
85;9
86;9
87;7
88;7
89;7
90;7
91;4
92;4
93;4
94;4
95;2
96;4
97;4
98;4
99;4
100;2
101;4
102;4
103;4
104;4
105;7
106;7
107;7
108;7
109;7
110;9
111;9
112;9
113;9
114;9
115;12
116;9
117;9
118;9
119;9
120;9
121;7
122;7
123;7
124;4
125;4
126;4
127;4
128;4
129;4
130;4
131;4
132;4
133;4
134;4
135;7
136;7
137;4
138;7
139;7
140;7
141;7
142;7
143;7
144;7
145;4
146;7
147;7
148;9
149;9
150;12
151;12
152;12
153;14
154;14
155;14
156;17
157;19
158;19
159;19
160;22
161;22
162;22
163;22
164;19
165;19
166;17
167;17
168;14
169;14
170;14
171;14
172;12
173;12
174;12
175;12
176;12
177;12
178;9
179;12
180;14
181;12
182;14
183;14
184;14
185;14
186;17
187;17
188;17
189;17
190;17
191;14
192;17
193;19
194;24
195;29
196;34
197;44
198;58
199;81
200;105
201;127
202;142
203;157
204;184
205;208
206;250
207;319
208;380
209;484
210;584
211;754
212;931
213;1061
214;1213
215;1316
216;1425
217;1552
218;1759
219;1943
220;2046
221;2130
222;2233
223;2334
224;2489
225;2651
226;2749
227;2801
228;2845
229;2889
230;2923
231;2968
232;3036
233;3149
234;3213
235;3329
236;3371
237;3380
238;3410
239;3508
240;3658
241;3810
242;3820
243;3830
244;3830
245;3825
246;3825
247;3828
248;3828
249;3823
250;3828
251;3823
252;3830
253;3825
254;3833
255;3830
256;3823
257;3825
258;3830
259;3828
260;3825
261;3830
262;3825
263;3818
264;3818
265;3825
266;3830
267;3830
268;3830
269;3820
270;3818
271;3825
272;3820
273;3823
274;3828
275;3828
276;3828
277;3830
278;3815
279;3828
280;3830
281;3820
282;3830
283;3815
284;3820
285;3828
286;3823
287;3830
288;3820
289;3825
290;3823
291;3833
292;3825
293;3828
294;3825
295;3828
296;3833
297;3828
298;3833
299;3828
300;3830
301;3833
302;3828
303;3830
304;3828
305;3830
306;3828
307;3833
308;3825
309;3820
310;3823
311;3830
312;3825
313;3823
314;3828
315;3830
316;3830
317;3825
318;3830
319;3833
320;3825
321;3818
322;3825
323;3830
324;3830
325;3830
326;3833
327;3833
328;3833
329;3788
330;3788
331;3786
332;3825
333;3825
334;3788
335;3791
336;3801
337;3808
338;3791
339;3742
340;3656
341;3597
342;3611
343;3631
344;3629
345;3643
346;3626
347;3582
348;3511
349;3417
350;3324
351;3208
352;3086
353;2973
354;2818
355;2651
356;2516
357;2390
358;2277
359;2169
360;2056
361;1950
362;1845
363;1732
364;1550
365;1464
366;1373
367;1280
368;1196
369;1127
370;1061
371;997
372;933
373;874
374;823
375;761
376;710
377;673
378;624
379;584
380;545
381;508
382;474
383;442
384;412
385;385
386;361
387;336
388;314
389;294
390;275
391;260
392;245
393;230
394;216
395;203
396;191
397;181
398;169
399;159
400;149
401;140
402;130
403;125
404;115
405;110
406;103
407;95
408;90
409;85
410;81
411;76
412;73
413;68
414;63
415;61
416;56
417;54
418;51
419;49
420;46
421;46
422;41
423;41
424;39
425;36
426;34
427;34
428;29
429;29
430;29
431;27
432;24
433;22
434;19
435;19
436;17
437;17
438;14
439;12
440;12
441;12
442;12
443;9
444;9
445;9
446;9
447;9
448;9
449;9
450;7
451;7
452;7
453;7
454;7
455;7
456;7
457;4
458;4
459;4
460;4
461;4
462;4
463;4
464;4
465;4
466;4
467;4
468;4
469;4
470;4
471;4
472;4
473;4
474;4
475;4
476;7
477;4
478;7
479;7
480;9
481;9
482;9
483;9
484;9
485;7
486;7
487;7
488;7
489;7
490;7
491;7
492;7
493;7
494;7
495;7
496;7
497;7
498;7
499;7
500;7
501;7
502;7
503;9
504;9
505;9
506;9
507;9
508;9
509;9
510;9
511;9
512;9
513;9
514;9
515;9
516;9
517;9
518;9
519;9
520;9
521;12
522;12
523;9
524;9
525;12
526;9
527;12
528;12
529;12
530;14
531;14
532;14
533;14
534;14
535;14
536;14
537;14
538;12
539;12
540;12
541;12
542;9
543;9
544;9
545;9
546;7
547;4
548;7
549;7
550;4
551;4
552;4
553;4
554;4
