tick;adc
0;4
1;2
2;4
3;2
4;4
5;4
6;2
7;4
8;4
9;4
10;2
11;4
12;2
13;2
14;4
15;4
16;4
17;4
18;12
19;17
20;19
21;22
22;24
23;24
24;24
25;24
26;39
27;51
28;58
29;66
30;71
31;78
32;88
33;103
34;108
35;117
36;140
37;171
38;208
39;260
40;312
41;356
42;444
43;587
44;700
45;862
46;1061
47;1287
48;1491
49;1690
50;1847
51;1970
52;2221
53;2427
54;2688
55;2852
56;3051
57;3213
58;3493
59;3648
60;3823
61;3823
62;3828
63;3830
64;3828
65;3830
66;3820
67;3820
68;3830
69;3820
70;3825
71;3815
72;3833
73;3830
74;3825
75;3825
76;3830
77;3820
78;3828
79;3820
80;3825
81;3825
82;3828
83;3825
84;3828
85;3830
86;3815
87;3818
88;3825
89;3815
90;3830
91;3830
92;3828
93;3828
94;3828
95;3828
96;3830
97;3828
98;3815
99;3825
100;3815
101;3823
102;3828
103;3825
104;3830
105;3830
106;3830
107;3833
108;3830
109;3830
110;3818
111;3744
112;3675
113;3594
114;3476
115;3344
116;3250
117;3108
118;2968
119;2810
120;2565
121;2407
122;2292
123;2203
124;2145
125;2066
126;1982
127;1899
128;1810
129;1697
130;1606
131;1511
132;1430
133;1351
134;1262
135;1164
136;1100
137;1027
138;948
139;869
140;808
141;749
142;700
143;648
144;604
145;562
146;530
147;496
148;464
149;437
150;400
151;366
152;339
153;314
154;289
155;270
156;248
157;228
158;213
159;196
160;184
161;169
162;157
163;144
164;135
165;125
166;115
167;105
168;95
169;88
170;83
171;78
172;73
173;68
174;63
175;58
176;54
177;51
178;46
179;44
180;41
181;36
182;34
183;31
184;29
185;27
186;24
187;22
188;19
189;17
190;14
191;9
192;9
193;9
194;7
195;7
196;4
197;4
198;4
199;4
200;4
201;4
202;4
203;7
204;4
205;7
206;4
207;4
208;2
209;4
210;4
211;4
212;4
213;2
214;2
215;4
216;4
217;2
218;2
219;2
220;4
221;4
222;4
223;2
224;4
225;2
226;2
227;4
228;2
229;2
230;4
231;2
232;4
233;4
234;4
235;2
236;2
237;4
238;4
239;4
240;2
241;4
242;4
243;4
244;4
245;2
246;4
247;4
248;4
249;4
250;4
251;4
252;4
253;4
254;4
255;4
256;2
257;4
258;2
259;2
260;2
261;4
262;4
263;4
264;4
265;4
266;4
267;4
268;4
269;4
270;2
271;2
272;2
273;4
274;2
275;4
276;4
277;4
278;4
279;4
280;4
281;4
282;2
283;4
284;4
285;2
286;4
287;2
288;2
289;2
290;2
291;2
292;2
293;4
294;2
295;4
296;4
297;4
298;2
299;4
300;4
301;4
302;4
303;2
304;4
305;4
306;4
307;4
308;4
309;4
310;4
311;4
312;4
313;4
314;4
