tick;adc
0;2
1;4
2;4
3;4
4;4
5;4
6;2
7;4
8;4
9;4
10;4
11;4
12;4
13;4
14;2
15;4
16;4
17;4
18;4
19;4
20;2
21;2
22;2
23;4
24;2
25;4
26;4
27;4
28;4
29;4
30;2
31;2
32;4
33;2
34;4
35;4
36;4
37;4
38;4
39;2
40;2
41;4
42;4
43;4
44;4
45;2
46;4
47;4
48;4
49;4
50;4
51;2
52;2
53;2
54;2
55;4
56;2
57;2
58;4
59;2
60;4
61;2
62;4
63;2
64;4
65;4
66;2
67;4
68;2
69;4
70;4
71;4
72;4
73;4
74;2
75;4
76;4
77;4
78;4
79;4
80;2
81;4
82;4
83;4
84;2
85;4
86;2
87;4
88;4
89;4
90;4
91;4
92;4
93;4
94;4
95;4
96;4
97;4
98;4
99;4
100;4
101;4
102;4
103;4
104;4
105;4
106;4
107;2
108;4
109;4
110;4
111;2
112;4
113;2
114;4
115;4
116;4
117;2
118;2
119;4
120;4
121;2
122;2
123;4
124;2
125;4
126;4
127;2
128;4
129;2
130;4
131;4
132;4
133;4
134;2
135;2
136;2
137;2
138;2
139;4
140;4
141;2
142;4
143;2
144;4
145;4
146;4
147;2
148;4
149;4
150;4
151;2
152;2
153;2
154;4
155;4
156;2
157;4
158;4
159;4
160;2
161;4
162;2
163;2
164;4
165;4
166;4
167;4
168;4
169;4
170;2
171;2
172;7
173;12
174;31
175;44
176;56
177;68
178;90
179;115
180;149
181;179
182;201
183;213
184;221
185;223
186;226
187;223
188;216
189;208
190;201
191;191
192;181
193;181
194;201
195;253
196;348
197;449
198;555
199;685
200;805
201;1034
202;1289
203;1631
204;2027
205;2287
206;2599
207;2803
208;2970
209;3248
210;3425
211;3616
212;3715
213;3813
214;3828
215;3830
216;3823
217;3828
218;3828
219;3830
220;3823
221;3820
222;3815
223;3830
224;3828
225;3823
226;3828
227;3828
228;3830
229;3823
230;3830
231;3815
232;3830
233;3830
234;3825
235;3825
236;3828
237;3825
238;3828
239;3823
240;3825
241;3823
242;3830
243;3825
244;3828
245;3830
246;3825
247;3828
248;3830
249;3833
250;3828
251;3825
252;3830
253;3830
254;3825
255;3828
256;3825
257;3830
258;3818
259;3828
260;3823
261;3830
262;3833
263;3825
264;3828
265;3830
266;3815
267;3820
268;3828
269;3830
270;3830
271;3828
272;3830
273;3833
274;3825
275;3771
276;3648
277;3547
278;3422
279;3314
280;3245
281;3201
282;3130
283;3066
284;2965
285;2852
286;2742
287;2587
288;2469
289;2317
290;2196
291;2049
292;1918
293;1793
294;1697
295;1584
296;1464
297;1373
298;1282
299;1189
300;1120
301;1031
302;945
303;891
304;828
305;769
306;712
307;658
308;601
309;552
310;508
311;474
312;439
313;407
314;373
315;343
316;319
317;294
318;275
319;255
320;233
321;211
322;189
323;174
324;159
325;144
326;130
327;120
328;110
329;98
330;88
331;78
332;73
333;63
334;58
335;54
336;49
337;41
338;39
339;34
340;31
341;27
342;24
343;22
344;17
345;17
346;14
347;12
348;9
349;7
350;7
351;4
352;2
353;4
354;4
355;4
356;4
357;2
358;4
359;4
360;4
361;2
362;2
363;4
364;2
365;4
366;4
367;2
368;4
369;4
370;4
371;4
372;4
373;4
374;2
375;4
376;4
377;4
378;4
379;2
380;2
381;4
382;4
383;4
384;4
385;2
386;4
387;4
388;4
389;4
390;2
391;4
392;4
393;4
394;4
395;2
396;4
397;4
398;4
399;2
400;2
401;4
402;4
403;4
404;4
405;2
406;4
407;4
408;2
409;4
410;4
411;2
412;4
413;4
414;4
415;4
416;4
417;4
418;4
419;4
420;2
421;4
422;4
423;2
424;2
425;4
426;2
427;2
428;4
429;4
430;4
431;4
432;2
433;4
434;4
435;2
436;4
437;4
438;4
439;4
440;4
441;4
442;2
443;2
444;4
445;4
446;4
447;2
448;2
449;4
450;2
451;4
452;4
453;4
454;4
455;2
456;2
457;2
458;2
459;4
460;4
461;2
462;4
463;4
464;2
465;2
466;2
467;4
468;2
469;4
470;4
471;4
472;4
473;2
474;4
475;2
476;4
477;4
478;4
479;4
480;2
481;4
482;4
483;4
484;4
485;4
486;4
487;2
488;4
489;4
490;2
491;4
492;4
493;4
494;2
495;2
496;4
497;4
498;2
499;2
500;4
501;4
502;4
503;4
504;4
505;2
506;2
507;4
508;4
509;2
510;4
511;4
512;4
513;2
514;4
515;4
516;2
517;4
518;4
519;2
520;4
521;4
522;4
523;4
524;4
525;4
526;2
527;4
528;4
529;4
530;2
531;4
532;2
533;4
534;4
535;4
536;4
537;4
538;4
539;4
540;4
541;4
542;4
543;2
544;4
545;4
546;2
547;4
548;4
549;4
550;4
551;4
552;2
553;4
554;4
555;2
556;4
557;4
558;4
559;2
560;4
561;4
562;4
563;4
564;4
565;2
566;4
567;2
568;2
569;4
570;4
571;2
572;2
573;2
574;4
575;4
576;4
577;4
578;4
579;2
580;4
581;4
582;4
583;2
584;4
585;4
586;4
587;4
588;4
589;4
590;2
591;2
592;2
593;4
594;2
595;4
596;4
597;2
598;2
599;4
600;4
601;4
602;2
603;4
604;2
605;2
606;2
607;4
608;4
609;2
610;4
611;2
612;2
613;2
614;4
615;2
616;4
617;4
618;4
619;4
620;4
621;4
622;2
623;4
624;2
625;4
626;4
627;4
628;2
629;2
630;4
631;2
632;4
633;4
634;2
635;2
636;2
637;2
638;4
639;4
640;2
641;4
642;2
643;2
644;4
645;4
646;2
647;2
648;2
649;4
650;4
651;4
652;2
653;2
654;2
655;2
656;4
657;4
658;2
659;2
660;4
661;2
662;4
663;2
664;4
665;4
666;2
667;4
668;4
669;2
670;4
671;2
672;4
673;4
674;2
675;4
676;4
677;4
678;2
679;2
680;2
681;4
682;2
683;4
684;4
685;4
686;4
687;2
688;4
689;2
690;4
691;4
692;4
693;2
694;4
695;4
696;2
697;4
698;2
699;4
700;2
701;4
702;4
703;2
704;4
705;2
